182	10000	578	10000	10000	786	358	978	936	385	989	10000	359	966	112	950	765	807	10000	991	80	403	361	936	889	10000	339	943	684	10000	10000	965	302	676	725	10000	327	134	10000	147
56	10000	699	615	873	10000	232	900	883	10000	772	675	10000	227	10000	68	196	10000	649	182	927	962	10000	10000	349	736	10000	10000	505	349	965	10000	474	178	833	10000	10000	555	853	10000
10000	315	10000	10000	477	554	550	10000	286	342	932	250	814	10000	900	193	504	10000	10000	351	10000	785	10000	10000	10000	576	102	779	341	723	302	474	10000	689	10000	10000	10000	451	10000	10000
884	649	898	409	10000	817	10000	901	10000	470	7	686	218	10000	10000	10000	757	10000	10000	477	974	10000	512	490	963	10000	790	10000	384	10000	676	178	689	10000	245	596	445	10000	10000	343
412	937	294	758	10000	33	305	10000	174	10000	10000	995	186	807	10000	697	10000	461	10000	867	977	511	931	10000	150	697	359	6	9	10000	725	833	10000	245	10000	949	10000	270	10000	112
273	10000	10000	221	19	10000	997	10000	10000	10000	823	366	10000	993	818	10000	542	501	10000	10000	10000	10000	10000	695	447	946	10000	880	992	186	10000	10000	10000	596	949	10000	91	10000	768	273
636	185	575	10000	450	54	662	225	10000	10000	391	191	10000	10000	639	390	10000	10000	10000	10000	10000	1	224	10000	10000	443	439	116	507	10000	327	10000	10000	445	10000	91	10000	248	10000	344
10000	102	168	10000	10000	506	744	533	10000	730	10000	10000	929	10000	268	588	395	10000	654	889	457	10000	690	505	292	10000	938	775	48	36	134	555	451	10000	270	10000	248	10000	371	680
10000	636	432	76	10000	386	686	770	828	582	10000	433	203	526	600	848	227	616	10000	217	117	707	369	109	586	205	809	10000	10000	240	10000	853	10000	10000	10000	768	10000	371	10000	540
774	289	833	257	10000	381	239	722	711	468	933	10000	10000	17	10000	10000	148	10000	10000	853	10000	10000	10000	10000	264	194	260	947	10000	752	147	10000	10000	343	112	273	344	680	540	10000
